Wavelength,Simulated Rp,Wavelengt,Measured Rp,Wavelength,Measured Rs,Wavelength,Simulated Rs,,,,,,,,,,,
nm,,,,nm,,nm,,,,,,,,,,,,
,50 deg,,50 deg,,50 deg,,50 deg,,,,,,,,,,,
260,0.626828,260,0.039415,260,0.242968,260,0.819265,--,--,,,,,,,,,
270,0.498744,270,0.0371205,270,0.251813,270,0.748687,--,--,,,,,,,,,
280,0.211693,280,0.0369009,280,0.258134,280,0.527909,--,--,,,,,,,,,
290,0.109579,290,0.0421532,290,0.268721,290,0.406064,--,--,,,,,,,,,
300,0.0511996,300,0.0437279,300,0.278213,300,0.304599,--,--,,,,,,,,,
310,0.125436,310,0.0396108,310,0.26758,310,0.422877,--,--,,,,,,,,,
320,0.0409908,320,0.0310284,320,0.246658,320,0.255734,--,--,,,,,,,,,
330,0.0162154,330,0.0525166,330,0.295135,330,0.200082,--,--,,,,,,,,,
340,0.0707809,340,0.0787512,340,0.349156,340,0.332908,--,--,,,,,,,,,
350,0.0909548,350,0.0776558,350,0.34134,350,0.376016,--,--,,,,,,,,,
360,0.0767779,360,0.0563605,360,0.281693,360,0.345855,--,--,,,,,,,,,
370,0.0583837,370,0.0292854,370,0.199164,370,0.295529,--,--,,,,,,,,,
380,0.0369586,380,0.0091204,380,0.127059,380,0.226688,--,--,,,,,,,,,
390,0.0143937,390,5.42849E-4,390,0.0974151,390,0.14706,--,--,,,,,,,,,
400,0.00187336,400,0.00296067,400,0.111236,400,0.0990484,--,--,,,,,,,,,
410,7.04476E-4,410,0.0108076,410,0.149678,410,0.0986437,--,--,,,,,,,,,
420,0.00633632,420,0.020179,420,0.190363,420,0.129561,--,--,,,,,,,,,
430,0.0173308,430,0.0287886,430,0.226526,430,0.180468,--,--,,,,,,,,,
440,0.0357501,440,0.0403766,440,0.267397,440,0.249383,--,--,,,,,,,,,
450,0.0629411,450,0.0602698,450,0.3232,450,0.329151,--,--,,,,,,,,,
460,0.0972131,460,0.090021,460,0.388289,460,0.406346,--,--,,,,,,,,,
470,0.134658,470,0.126352,470,0.448903,470,0.470015,--,--,,,,,,,,,
480,0.171032,480,0.165252,480,0.496624,480,0.51562,--,--,,,,,,,,,
490,0.203003,490,0.199141,490,0.524665,490,0.543043,--,--,,,,,,,,,
500,0.228555,500,0.226261,500,0.535996,500,0.553706,--,--,,,,,,,,,
510,0.246904,510,0.244759,510,0.532799,510,0.548917,--,--,,,,,,,,,
520,0.258248,520,0.255682,520,0.50885,520,0.529299,--,--,,,,,,,,,
530,0.263505,530,0.259595,530,0.470477,530,0.494808,--,--,,,,,,,,,
540,0.264099,540,0.258204,540,0.418806,540,0.445171,--,--,,,,,,,,,
550,0.261785,550,0.25549,550,0.353276,550,0.380817,--,--,,,,,,,,,
560,0.258492,560,0.252561,560,0.278235,560,0.304571,--,--,,,,,,,,,
570,0.256144,570,0.250643,570,0.200405,570,0.22399,--,--,,,,,,,,,
580,0.256449,580,0.252505,580,0.136062,580,0.153035,--,--,,,,,,,,,
590,0.260691,590,0.259059,590,0.101473,590,0.109882,--,--,,,,,,,,,
600,0.26956,600,0.270893,600,0.109155,600,0.108786,--,--,,,,,,,,,
610,0.283101,610,0.287342,610,0.158526,610,0.150906,--,--,,,,,,,,,
620,0.300772,620,0.308468,620,0.237019,620,0.223647,--,--,,,,,,,,,
630,0.321611,630,0.332539,630,0.326563,630,0.30926,--,--,,,,,,,,,
640,0.344451,640,0.357324,640,0.412299,640,0.393509,--,--,,,,,,,,,
650,0.368111,650,0.383699,650,0.48812,650,0.468566,--,--,,,,,,,,,
660,0.391544,660,0.409865,660,0.552322,660,0.531716,--,--,,,,,,,,,
670,0.413907,670,0.433782,670,0.60274,670,0.583102,--,--,,,,,,,,,
