Spectroscopic Data at 3.081 min.	
Wavelength (nm)	Intensity
210	0.304299
211	0.302024
212	0.300523
213	0.299062
214	0.297719
215	0.297199
216	0.295725
217	0.29434
218	0.293471
219	0.292007
220	0.290708
221	0.289454
222	0.288401
223	0.287679
224	0.286742
225	0.286032
226	0.285468
227	0.285053
228	0.284756
229	0.284193
230	0.283157
231	0.282071
232	0.28105
233	0.280003
234	0.27927
235	0.278345
236	0.276785
237	0.275199
238	0.273848
239	0.272479
240	0.271426
241	0.27058
242	0.270015
243	0.269283
244	0.268308
245	0.267505
246	0.266657
247	0.265737
248	0.264778
249	0.263737
250	0.262801
251	0.261716
252	0.260812
253	0.260209
254	0.259463
255	0.258637
256	0.257865
257	0.25686
258	0.256039
259	0.255336
260	0.254488
261	0.253872
262	0.253279
263	0.252664
264	0.252199
265	0.251601
266	0.250997
267	0.250394
268	0.249669
269	0.249075
270	0.248388
271	0.247996
272	0.247426
273	0.246611
274	0.246027
275	0.24555
276	0.244865
277	0.244227
278	0.243711
279	0.243042
280	0.24251
281	0.241926
282	0.241305
283	0.240923
284	0.240358
285	0.239726
286	0.239121
287	0.23867
288	0.238248
289	0.237695
290	0.237072
291	0.236466
292	0.235886
293	0.235232
294	0.234647
295	0.234279
296	0.233882
297	0.233305
298	0.232746
299	0.23247
300	0.23213
301	0.231621
302	0.231239
303	0.230921
304	0.230602
305	0.230371
306	0.229878
307	0.22945
308	0.229212
309	0.228995
310	0.228774
311	0.228602
312	0.228318
313	0.228233
314	0.228059
315	0.227889
316	0.227831
317	0.227802
318	0.227579
319	0.227475
320	0.227583
321	0.227426
322	0.227197
323	0.227146
324	0.227199
325	0.227346
326	0.227255
327	0.227136
328	0.227047
329	0.227147
330	0.227355
331	0.2274
332	0.227406
333	0.227337
334	0.22765
335	0.228016
336	0.228074
337	0.227769
338	0.227801
339	0.228186
340	0.228496
341	0.228893
342	0.228953
343	0.228845
344	0.229135
345	0.229592
346	0.229863
347	0.23004
348	0.230134
349	0.230183
350	0.230479
351	0.230907
352	0.231033
353	0.231198
354	0.23133
355	0.231641
356	0.232039
357	0.23232
358	0.232486
359	0.232645
360	0.232973
361	0.233255
362	0.233906
363	0.234434
364	0.234479
365	0.23466
366	0.23506
367	0.235369
368	0.235684
369	0.236005
370	0.23619
371	0.236382
372	0.236714
373	0.236877
374	0.237045
375	0.237283
376	0.237729
377	0.238145
378	0.238705
379	0.238987
380	0.238586
381	0.238264
382	0.238376
383	0.238408
384	0.238625
385	0.238912
386	0.239113
387	0.238982
388	0.238291
389	0.240351
390	0.24512
391	0.245518
392	0.240065
393	0.23694
394	0.237688
395	0.238592
396	0.238949
397	0.240421
398	0.241252
399	0.241115
400	0.241225
401	0.241426
402	0.241663
403	0.241514
404	0.241377
405	0.241577
406	0.241514
407	0.24171
408	0.242132
409	0.242313
410	0.242424
411	0.242225
412	0.242207
413	0.242156
414	0.242094
415	0.242394
416	0.242518
417	0.242714
418	0.242822
419	0.242602
420	0.242453
421	0.242117
422	0.242392
423	0.242668
424	0.242664
425	0.24281
426	0.242823
427	0.242671
428	0.242733
429	0.24268
430	0.242615
431	0.242885
432	0.242797
433	0.242771
434	0.242752
435	0.242735
436	0.242792
437	0.242857
438	0.242836
439	0.242989
440	0.243006
441	0.242758
442	0.242737
443	0.242918
444	0.242687
445	0.242762
446	0.243066
447	0.242868
448	0.243479
